medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code,age
Bronze,3,2024-08-08,Alizadeh KIMIA,BUL,W,Taekwondo,Women -57kg,HATH,/en/paris-2024/results/taekwondo/women--57kg/repf000200--,2493835,26.0
Gold,1,2024-08-08,Rizki JUNIANSYAH,INA,M,Weightlifting,Men's 73kg,ATH,/en/paris-2024/results/weightlifting/men-s-73kg/fnl-000100--,1941786,21.0
Silver,2,2024-08-08,Weeraphon WICHUMA,THA,M,Weightlifting,Men's 73kg,ATH,/en/paris-2024/results/weightlifting/men-s-73kg/fnl-000100--,1898067,19.0
Bronze,3,2024-08-08,Bozhidar Dimitrov ANDREEV,BUL,M,Weightlifting,Men's 73kg,ATH,/en/paris-2024/results/weightlifting/men-s-73kg/fnl-000100--,1902787,27.0
Gold,1,2024-08-08,LUO Shifang,CHN,W,Weightlifting,Women's 59kg,ATH,/en/paris-2024/results/weightlifting/women-s-59kg/fnl-000100--,1918379,23.0
Silver,2,2024-08-08,Maude CHARRON,CAN,W,Weightlifting,Women's 59kg,ATH,/en/paris-2024/results/weightlifting/women-s-59kg/fnl-000100--,1965815,31.0
Bronze,3,2024-08-08,KUO Hsing-Chun,TPE,W,Weightlifting,Women's 59kg,ATH,/en/paris-2024/results/weightlifting/women-s-59kg/fnl-000100--,1569563,30.0
Gold,1,2024-08-08,Saeid ESMAEILI LEIVESI,IRI,M,Wrestling,Men's Greco-Roman 67kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-67kg/fnl-000100--,1544928,21.0
Silver,2,2024-08-08,Parviz NASIBOV,UKR,M,Wrestling,Men's Greco-Roman 67kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-67kg/fnl-000100--,1550119,25.0
Bronze,3,2024-08-08,Hasrat JAFAROV,AZE,M,Wrestling,Men's Greco-Roman 67kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-67kg/repf000100--,1981760,21.0
